"ppltrst","lrscale","gender","age","married","urban","native","edulevel","paidwork","cntry"
NA,3,1,46,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,0,42,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,1,1,33,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
3,5,1,18,0,0,1,"Gymnasium",1,"DK"
NA,7,0,45,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,4,0,51,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,2,0,33,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
5,2,0,63,0,1,1,"Gymnasium",0,"DK"
6,8,0,40,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,2,1,63,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,6,1,60,1,0,1,"Lang videreg?ende",1,"DK"
NA,1,0,65,0,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,5,0,28,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,10,1,27,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,5,1,18,0,1,1,"Gymnasium",0,"DK"
NA,3,0,23,0,1,1,"Erhvervsuddannelse",0,"DK"
NA,5,1,21,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,3,1,38,1,1,0,"Erhvervsuddannelse",1,"DK"
NA,2,0,23,0,1,1,"Erhvervsuddannelse",1,"DK"
6,3,0,44,0,0,1,"Gymnasium",1,"DK"
8,5,0,15,0,0,1,"Gymnasium",0,"DK"
NA,2,0,34,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,1,18,0,0,1,"Gymnasium",0,"DK"
NA,7,1,37,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,8,1,22,0,1,1,"Erhvervsuddannelse",0,"DK"
NA,3,0,20,0,0,1,"Erhvervsuddannelse",0,"DK"
8,NA,0,64,1,0,1,"Gymnasium",0,"DK"
NA,8,1,37,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,8,0,55,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,2,0,77,1,1,1,"Erhvervsuddannelse",0,"DK"
NA,5,0,64,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,4,1,59,0,0,1,"Lang videreg?ende",1,"DK"
6,6,1,70,1,1,1,"Erhvervsuddannelse",0,"DK"
NA,5,1,68,1,1,1,"Erhvervsuddannelse",0,"DK"
